MatrixSize,NumEigs,NumProcs,Successes,Failures,ShurFallbacks,WallTime,TotalComputeTime,AverageWorkerComputeTime,ManagerInitTime,ManagerManagingTime,ManagerWaitingTime,ManagerWriteTime
500,128,2,128,0,0,    6.307289,    6.291920,    6.291920,    0.004279,    0.003188,    6.299307,    0.000481
500,128,4,128,0,0,    2.317015,    6.883635,    2.294545,    0.004316,    0.002636,    2.309707,    0.000324
500,128,8,128,0,0,    1.003516,    6.814900,    0.973557,    0.004691,    0.002351,    0.996134,    0.000312
500,128,16,128,0,0,    0.914593,   12.562072,    0.837471,    0.006041,    0.003258,    0.904444,    0.000813
500,128,32,128,0,0,    1.266428,   26.445200,    0.853071,    0.009592,    0.011287,    1.233385,    0.010088
500,128,64,128,0,0,    2.278778,   71.899889,    1.141268,    0.019547,    0.012892,    2.229574,    0.008631
500,128,128,128,0,0,    2.330106,  118.635298,    0.934136,    0.034369,    0.020698,    2.250898,    0.013959
500,256,2,256,0,0,   12.322404,   12.306346,   12.306346,    0.004136,    0.004303,   12.313336,    0.000593
500,256,4,256,0,0,    4.335164,   12.961324,    4.320441,    0.004452,    0.004567,    4.325537,    0.000567
500,256,8,256,0,0,    1.969501,   13.532726,    1.933247,    0.004517,    0.004580,    1.959790,    0.000578
500,256,16,256,0,0,    1.703354,   24.176301,    1.611753,    0.005755,    0.007003,    1.688483,    0.001952
500,256,32,256,0,0,    1.904850,   44.847144,    1.446682,    0.013626,    0.016736,    1.706043,    0.027040
500,256,64,256,0,0,    2.245340,   96.648535,    1.534104,    0.022451,    0.030037,    2.149947,    0.040844
500,256,128,256,0,0,    2.773811,  160.796403,    1.266113,    0.041111,    0.056598,    2.627371,    0.043137
500,512,2,512,0,0,   26.235177,   26.215568,   26.215568,    0.004202,    0.008073,   26.221660,    0.001191
500,512,4,512,0,0,    9.014611,   26.883625,    8.961208,    0.004395,    0.008559,    9.000486,    0.001116
500,512,8,512,0,0,    4.034617,   28.039919,    4.005703,    0.004649,    0.009468,    4.019310,    0.001140
500,512,16,512,0,0,    3.214531,   47.098484,    3.139899,    0.009092,    0.011023,    3.191738,    0.002611
500,512,32,512,0,0,    3.604816,   89.716669,    2.894086,    0.010001,    0.026774,    3.524186,    0.040379
500,512,64,512,0,0,    4.015995,  180.137384,    2.859324,    0.020042,    0.033051,    3.918841,    0.032578
500,512,128,512,0,0,    4.442273,  272.706505,    2.147295,    0.035675,    0.031831,    4.201979,    0.020375
500,1024,2,1024,0,0,   50.450288,   50.417214,   50.417214,    0.004227,    0.015765,   50.428021,    0.002202
500,1024,4,1024,0,0,   17.425405,   52.140240,   17.380080,    0.004379,    0.015836,   17.403257,    0.001855
500,1024,8,1024,0,0,    8.059152,   56.081484,    8.011641,    0.004690,    0.017390,    8.034778,    0.002219
500,1024,16,1024,0,0,    6.722920,   99.859924,    6.657328,    0.011489,    0.026444,    6.679846,    0.005038
500,1024,32,1024,0,0,    6.360755,  169.030394,    5.452593,    0.009884,    0.052055,    6.142774,    0.069963
500,1024,64,1024,0,0,    7.391931,  317.477145,    5.039320,    0.020333,    0.051481,    7.111752,    0.046952
500,1024,128,1024,0,0,    8.423848,  686.403339,    5.404751,    0.033497,    0.058219,    8.140868,    0.062137
500,2048,2,2048,0,0,  101.733881,  101.678771,  101.678771,    0.004283,    0.031997,  101.692930,    0.004545
500,2048,4,2048,0,0,   34.749166,  104.155397,   34.718466,    0.004400,    0.032271,   34.708618,    0.003751
